City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
162,kaeo,-35.1,173.7833,53.33,94,100,3.89,NZ,1663084855
163,udachnyy,66.4167,112.4,33.01,81,80,5.28,RU,1663084857
164,seoul,37.5683,126.9778,74.59,59,100,6.08,KR,1663084859
165,bara,10.3744,10.7288,77.31,84,100,13.35,NG,1663084862
166,blytheville,35.9273,-89.919,79.05,44,0,8.05,US,1663084865
167,marawi,7.9986,124.2928,69.1,91,84,4.83,PH,1663084867
168,eden,36.4885,-79.7667,77.0,46,0,8.05,US,1663084831
169,jieshi,22.8134,115.8257,82.45,60,3,8.84,CN,1663084872
170,tomatlan,19.9333,-105.25,77.23,86,98,2.48,MX,1663084874
171,bakonyszentlaszlo,47.389,17.8032,72.21,48,98,4.63,HU,1663084877
172,strezhevoy,60.7333,77.5889,44.06,87,96,8.28,RU,1663084879
173,chapais,49.7834,-74.8492,62.38,91,100,4.0,CA,1663084882
174,mezhevoy,55.1711,58.7814,50.04,61,100,2.42,RU,1663084884
175,shitanjing,39.2342,106.3439,65.34,46,89,21.97,CN,1663084887
176,kearney,40.6995,-99.0815,70.36,35,0,6.06,US,1663084752
177,bengkulu,-3.8004,102.2655,74.05,90,100,6.15,ID,1663084891
178,vanavara,60.34,102.2797,39.4,87,85,5.44,RU,1663084894
179,codrington,-38.2667,141.9667,39.72,82,0,11.65,AU,1663084896
180,bontang,0.1333,117.5,77.56,87,91,6.98,ID,1663084898
181,oranjemund,-28.55,16.4333,70.52,34,0,15.68,NA,1663084901
182,siguiri,11.6667,-9.5,83.12,73,89,5.88,GN,1663084903
183,sangmelima,2.9333,11.9833,72.57,95,93,3.18,CM,1663084906
184,raychikhinsk,49.7838,129.4121,45.7,82,1,7.36,RU,1663084908
185,vila,42.0304,-8.1588,61.68,93,100,7.76,PT,1663084910
186,dingle,10.9995,122.6711,76.08,89,79,4.0,PH,1663084913
187,vestmannaeyjar,63.4427,-20.2734,52.79,76,20,13.8,IS,1663084915
188,the valley,18.217,-63.0578,88.11,74,15,11.95,AI,1663084917
189,newark,40.7357,-74.1724,81.25,83,100,4.61,US,1663084682
190,saldanha,-33.0117,17.9442,59.95,78,2,13.44,ZA,1663084922
191,mar del plata,-38.0023,-57.5575,64.42,82,0,11.01,AR,1663084679
192,yerofey pavlovich,53.9667,121.9667,48.07,84,97,5.17,RU,1663084926
193,saint-philippe,-21.3585,55.7679,71.19,71,56,5.06,RE,1663084929
194,waidhofen,48.5833,11.3333,79.72,74,75,0.0,DE,1663084931
195,ancud,-41.8697,-73.8203,50.23,80,94,16.35,CL,1663084933
196,vrangel,42.7297,133.0839,58.77,70,98,7.38,RU,1663084936
197,killybegs,54.6333,-8.45,58.71,70,1,10.16,IE,1663084938
198,saint anthony,45.0205,-93.218,73.81,57,0,5.75,US,1663084831
199,luwingu,-10.2621,29.9271,79.36,23,51,6.2,ZM,1663084943
200,naryan-mar,67.6713,53.087,46.42,90,100,11.23,RU,1663084945
201,saint george,37.1041,-113.5841,64.99,94,100,6.91,US,1663084824
202,lompoc,34.6391,-120.4579,71.78,90,100,4.61,US,1663084950
203,mount isa,-20.7333,139.5,58.77,51,0,0.0,AU,1663084952
204,la ronge,55.1001,-105.2842,52.59,49,79,3.2,CA,1663084954
205,solenzo,12.1833,-4.0833,78.71,75,99,1.57,BF,1663084957
206,pangnirtung,66.1451,-65.7125,48.2,81,100,12.66,CA,1663084959
207,tecoanapa,16.5167,-98.75,81.25,73,100,1.95,MX,1663084961
208,soyo,-6.1349,12.3689,75.22,77,79,9.4,AO,1663084964
209,konza,-1.7426,37.1294,69.03,54,100,10.45,KE,1663084966
210,nuuk,64.1835,-51.7216,48.81,81,75,2.3,GL,1663084968
211,ryotsu,38.0833,138.4333,73.44,84,100,8.88,JP,1663084971
212,kavaratti,10.5669,72.642,80.73,84,29,11.05,IN,1663084973
213,burnie,-41.0667,145.9167,37.94,70,4,7.49,AU,1663084975
214,tigil,57.8,158.6667,42.03,94,100,3.36,RU,1663084978
215,sangueya,10.7,-14.3667,82.22,79,100,7.92,GN,1663084980
216,keelung,25.1283,121.7419,80.06,83,100,17.76,TW,1663084982
